t/s	U/V
13542,689	4,148
13562,703	4,147
13582,717	4,148
13602,730	4,148
13622,744	4,147
13642,758	4,147
13662,772	4,147
13682,785	4,147
13702,799	4,147
13722,813	4,147
13742,826	4,147
13762,840	4,146
13782,854	4,147
13802,868	4,146
13822,881	4,146
13842,895	4,146
13862,909	4,146
13882,923	4,146
13902,936	4,146
13922,950	4,145
13942,964	4,146
13962,978	4,145
13982,991	4,145
14003,005	4,145
14023,019	4,145
14043,033	4,145
14063,046	4,145
14083,060	4,145
14103,074	4,145
14123,088	4,144
14143,101	4,144
14163,115	4,144
14183,129	4,144
14203,143	4,144
14223,156	4,144
14243,170	4,144
14263,184	4,144
14283,198	4,143
14303,211	4,143
14323,225	4,143
14343,239	4,143
14363,253	4,143
14383,266	4,143
14403,280	4,143
14423,294	4,143
14443,307	4,143
14463,321	4,142
14483,335	4,142
14503,349	4,142
14523,362	4,142
14543,376	4,142
14563,390	4,142
14583,404	4,141
14603,418	4,141
14623,431	4,141
14643,445	4,141
14663,459	4,141
14683,472	4,140
14703,486	4,140
14723,500	4,140
14743,513	4,140
14763,527	4,140
14783,541	4,140
14803,555	4,140
14823,569	4,140
14843,582	4,140
14863,596	4,140
14883,610	4,140
14903,623	4,139
14923,637	4,139
14943,651	4,139
14963,665	4,139
14983,678	4,138
15003,692	4,138
15023,706	4,138
15043,720	4,138
15063,733	4,138
15083,747	4,137
15103,761	4,137
15123,775	4,137
15143,788	4,137
15163,802	4,137
15183,816	4,137
15203,830	4,137
15223,843	4,136
15243,857	4,136
15263,871	4,136
15283,885	4,136
15303,898	4,136
15323,912	4,136
15343,926	4,135
15363,940	4,135
15383,953	4,135
15403,967	4,135
15423,981	4,135
15443,995	4,135
15464,008	4,134
15484,022	4,134
15504,036	4,134
15524,050	4,134
15544,063	4,134
15564,077	4,133
15584,091	4,133
15604,104	4,133
15624,119	4,133
15644,132	4,132
15664,146	4,132
15684,159	4,132
15704,173	4,132
15724,187	4,132
15744,201	4,132
15764,214	4,131
15784,228	4,131
15804,242	4,131
15824,256	4,130
15844,269	4,130
15864,283	4,130
15884,297	4,130
15904,311	4,130
15924,324	4,130
15944,338	4,130
15964,352	4,129
15984,366	4,129
16004,379	4,128
16024,393	4,128
16044,407	4,128
16064,421	4,127
16084,434	4,127
16104,448	4,127
16124,462	4,127
16144,475	4,127
16164,489	4,127
16184,503	4,127
16204,517	4,126
16224,530	4,126
16244,544	4,125
16264,558	4,125
16284,572	4,125
16304,585	4,124
16324,599	4,124
16344,613	4,124
16364,627	4,124
16384,640	4,123
16404,654	4,123
16424,668	4,123
16444,682	4,122
16464,695	4,122
16484,709	4,122
16504,723	4,121
16524,737	4,121
16544,750	4,121
16564,764	4,121
16584,778	4,120
16604,792	4,119
16624,805	4,119
16644,819	4,119
16664,833	4,119
16684,847	4,118
16704,860	4,118
16724,874	4,118
16744,888	4,117
16764,902	4,117
16784,915	4,116
16804,929	4,116
16824,943	4,116
16844,956	4,115
16864,970	4,115
16884,984	4,115
16904,998	4,114
16925,012	4,113
16945,025	4,113
